Date,Baked_Goods,Meat,Dairy,Fruit,Alcohol
2015-01-01,273.035,262.134,294.572,226.065,196.84
2015-02-01,273.047,262.037,293.39,224.929,196.915
2015-03-01,273.583,260.598,290.546,224.214,197.113
2015-04-01,273.066,259.017,290.678,222.912,196.831
2015-05-01,273.308,257.79,291.728,222.333,197.283
2015-06-01,274.079,261.146,290.674,221.849,196.94
2015-07-01,274.756,261.275,290.621,222.965,197.17
2015-08-01,274.374,262.348,293.836,221.436,197.426
2015-09-01,274.055,261.79,295.811,221.947,196.977
2015-10-01,276.14,260.802,296.02,220.736,198.169
2015-11-01,274.797,259.094,298.402,219.848,198.045
2015-12-01,274.479,255.937,299.334,219.897,197.561
2016-01-01,274.003,253.24,302.6,219.359,198.847
2016-02-01,274.877,252.506,304.649,219.126,199.188
2016-03-01,272.782,251.508,299.141,217.77,198.824
2016-04-01,273.813,250.703,296.946,218.297,199
2016-05-01,272.921,249.343,294.891,217.117,198.984
2016-06-01,272.745,247.683,294.849,216.471,199.02
2016-07-01,272.772,246.197,294.509,216.112,198.958
2016-08-01,272.535,245.208,294.186,216.02,198.815
2016-09-01,272.352,245.258,293.742,216.501,198.923
2016-10-01,272.871,244.097,293.669,217.392,199.173
2016-11-01,272.989,243.807,293.819,216.479,198.799
2016-12-01,272.604,242.631,292.151,217.1,199.18
2017-01-01,272.686,244.075,287.914,218.351,200.164
2017-02-01,271.755,244.889,290.673,220.167,199.632
2017-03-01,271.674,245.303,294.153,218.236,199.855
2017-04-01,271.76,243.69,298.253,217.821,200.612
2017-05-01,272.234,243.922,297.511,217.826,199.576
2017-06-01,272.011,244.721,296.963,216.676,199.179
2017-07-01,271.314,246.283,296.969,217.766,199.743
2017-08-01,272.102,246.4,296.781,217.08,199.92
2017-09-01,271.729,246.196,297.435,216.371,200.633
2017-10-01,271.081,247.553,297.921,216.341,201.027
2017-11-01,270.714,247.049,297.377,216.678,201.57
2017-12-01,270.85,249.975,296.666,216.172,201.709
2018-01-01,272.389,249.003,298.904,216.779,201.299
2018-02-01,271.446,249.041,296.615,216.262,201.698
2018-03-01,271.76,250.248,294.77,216.295,201.687
